datahora,fluxo,es,vagas_ocupadas
2023-03-18 21:15:00,31,1,83
2023-03-18 21:15:00,-34,2,49
2023-03-18 21:30:00,-25,2,24
2023-03-18 21:45:00,-21,2,3
2023-03-18 22:00:00,-3,2,0
2023-03-19 08:15:00,14,1,14
2023-03-19 08:30:00,15,1,29
2023-03-19 08:30:00,-4,2,25
2023-03-19 08:45:00,17,1,42
2023-03-19 08:45:00,-15,2,27
2023-03-19 09:00:00,17,1,44
2023-03-19 09:00:00,-15,2,29
2023-03-19 09:15:00,17,1,46
2023-03-19 09:15:00,-12,2,34
2023-03-19 09:30:00,17,1,51
2023-03-19 09:30:00,-20,2,31
2023-03-19 09:45:00,14,1,45
2023-03-19 09:45:00,-19,2,26
2023-03-19 10:00:00,19,1,45
2023-03-19 10:00:00,-13,2,32
2023-03-19 10:15:00,18,1,50
2023-03-19 10:15:00,-13,2,37
2023-03-19 10:30:00,16,1,53
2023-03-19 10:30:00,-22,2,31
2023-03-19 10:45:00,19,1,50
2023-03-19 10:45:00,-22,2,28
2023-03-19 11:00:00,17,1,45
2023-03-19 11:00:00,-13,2,32
2023-03-19 11:15:00,11,1,43
2023-03-19 11:15:00,-23,2,20
2023-03-19 11:30:00,22,1,42
2023-03-19 11:30:00,-14,2,28
2023-03-19 11:45:00,26,1,54
2023-03-19 11:45:00,-23,2,31
2023-03-19 12:00:00,19,1,50
2023-03-19 12:00:00,-21,2,29
2023-03-19 12:15:00,22,1,51
2023-03-19 12:15:00,-17,2,34
2023-03-19 12:30:00,27,1,61
2023-03-19 12:30:00,-17,2,44
2023-03-19 12:45:00,21,1,65
2023-03-19 12:45:00,-27,2,38
2023-03-19 13:00:00,30,1,68
2023-03-19 13:00:00,-23,2,45
2023-03-19 13:15:00,26,1,71
2023-03-19 13:15:00,-31,2,40
2023-03-19 13:30:00,19,1,59
2023-03-19 13:30:00,-27,2,32
2023-03-19 13:45:00,25,1,57
2023-03-19 13:45:00,-18,2,39
2023-03-19 14:00:00,31,1,70
2023-03-19 14:00:00,-26,2,44
2023-03-19 14:15:00,16,1,60
2023-03-19 14:15:00,-31,2,29
2023-03-19 14:30:00,27,1,56
2023-03-19 14:30:00,-16,2,40
2023-03-19 14:45:00,14,1,54
2023-03-19 14:45:00,-19,2,35
2023-03-19 15:00:00,25,1,60
2023-03-19 15:00:00,-25,2,35
2023-03-19 15:15:00,15,1,50
2023-03-19 15:15:00,-16,2,34
2023-03-19 15:30:00,23,1,57
2023-03-19 15:30:00,-18,2,39
